"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG3","qDTY12.1","qSub1","Pita","qPi33","xa5"
"113","Early","DSRCP v2","IR14D172",2022,"WS",25,76,110,3932,84,89,55,10.7,-1,0,NA,1,-1,-1
"114","Mid-early","DSRCP v2","IR 114179-4:3-B2-B",2022,"WS",23,79,109,3673,78,83,61.8,18.9,-1,-1,NA,1,-1,1
"115","Early","DSRCP v1","IR14L247",2022,"WS",25,78,115,3946,80,81,39.1,9,NA,-1,NA,NA,NA,-1
"116","Early","DSRCP v2","IR14D122",2022,"WS",25,73,112,3868,79,85,61,10.1,-1,0,NA,1,1,-1
"117","Mid-Early","DSRCP v4","IR 122420-B-B-1-1-5 RGA",2022,"WS",26,75,109,3870,NA,NA,57.45,NA,1,1,NA,-1,NA,-1
"118","Mid-Early","DSRCP v1","IR18R1080",2022,"WS",24,81,110,3846,79,84,47.5,10.7,NA,-1,NA,NA,NA,1
"119","Mid-Early","DSRCP v1","IR15A1132",2022,"WS",24,75,112,4040,83,86,38.5,12,NA,-1,NA,NA,NA,1
"120","Mid-early","DSRCP v2","IR17D1055",2022,"WS",24,75,113,3628,76,81,46.9,21.3,-1,-1,NA,1,-1,-1
"121","Early","DSRCP v2","IR 111940-B-B-34-2-1-1",2022,"WS",24,78,115,3687,85,89,43.8,14.7,-1,-1,NA,1,-1,-1
"122","Mid-Early","DSRCP v1","IR 122310:7-5-6",2022,"WS",24,79,111,3949,84,87,54.3,8.5,NA,-1,1,NA,-1,1
"123","Early","DSRCP v1","IR17D1040",2022,"WS",24,77,113,3946,77,77,59.4,8.3,1,-1,NA,NA,-1,-1
"124","Mid-Early","DSRCP v1","IR19L1041",2022,"WS",26,79,116,3848,83,86,48.2,18.1,NA,-1,NA,NA,NA,0
"125","Early","DSRCP v4","IR 122420-B-B-1-1-4 RGA",2022,"WS",26,75,109,3888,NA,NA,57.41,NA,1,1,NA,-1,NA,-1
