"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","STV11"
"126","Mid-Early","DSRCP v4","IR 116687-B-B-39-1-2 RGA",2022,"WS",25,77,107,3971,NA,NA,50.53,NA,NA,-1,-1,NA,1,1,-1
"127","Early","DSRCP v1","IR 117831-7-1 RGA-1 RGA-1 RGA-2",2022,"WS",25,78,113,3983,81,86,59.8,11.8,-1,1,-1,NA,NA,1,1
"128","Early","DSRCP v1","IR 117841-2-1 RGA-1 RGA-1 RGA-1",2022,"WS",24,78,118,3880,84,89,44.7,10.2,-1,NA,-1,NA,NA,1,1
"129","Early","DSRCP v1","IR 117841-4-1 RGA-1 RGA-1 RGA-2",2022,"WS",25,77,116,3611,78,83,46.1,9.3,-1,1,-1,NA,NA,1,1
"130","Early","DSRCP v1","IR 118941-1:3-B2",2022,"WS",24,74,111,3853,83,83,49.9,15.4,-1,NA,-1,NA,NA,-1,1
"131","Mid-early","DSRCP v2","IR 120028-1:3-B2-B",2022,"WS",23,79,113,3970,83,85,60.3,17.9,NA,-1,-1,NA,1,1,1
"132","Mid-Early","DSRCP v4","IR 122407-B-B-37-2-1 RGA",2022,"WS",25,81,117,4051,NA,NA,57.15,NA,NA,0,1,NA,-1,-1,1
"133","Mid-Early","DSRCP v4","IR 122407-B-B-42-1-2 RGA",2022,"WS",25,80,115,4067,NA,NA,58.6,NA,NA,-1,1,NA,-1,-1,1
"134","","DSRCP v6","IR 125458-B-3-B RGA-B RGA-1",2022,"WS",24,81,115,4017,NA,NA,56.89,NA,-1,NA,-1,NA,1,-1,1
"135","","DSRCP v6","IR 125492-B-11-B RGA-B RGA-1",2022,"WS",24,76,108,3909,NA,NA,54.8,NA,NA,-1,-1,-1,1,1,1
"136","","DSRCP v6","IR 125492-B-11-B RGA-B RGA-2",2022,"WS",25,77,109,3954,NA,NA,55.05,NA,NA,-1,-1,-1,1,1,1
"137","","DSRCP v6","IR 125492-B-11-B RGA-B RGA-4",2022,"WS",25,77,108,3944,NA,NA,54.91,NA,NA,-1,-1,-1,1,1,1
